1	award;kia;sorento;buy;
2	commercials;blake;griffin;comment;
3	commercials;mr;sandman;
4	spot;difference;
5	kia;nba;
6	sales;motorshow;2012;
7	kia;repair;manuals;
8	kia;sale;
9	dealers;congratulations;people;kia;
10	kia;nadal;
11	kia;feder;ong;
12	opinion;development;kia;truck;
13	kia;voice;
14	kia;dim;
15	possible;insider;trading;
16	topics;
17	kia;acb;
18	kia;recalls;
19	kia;venezuela;imperialism;
20	commercials;target;practice;
21	kia;rio;
22	kia;sorento;design;2014;
23	sales;growth;strategy;
24	events;
25	marvel;themed;cars;
26	kia;sorento;
27	good;/;bad;cars;
28	kia;pro)ceed;
29	kia;repair;
30	kia;reevoo;drivers;opinions;kia;
31	work;kia;
32	kia;cerato;
33	kia;manager;accused;murder;
34	kia;optima;dedicate;song;
35	kia;australia;sourcing;cars;europe;
36	boycott;korean;brands;
37	dealers;dealing;people;
38	boycott;puerto;rican;tv;
39	recent;acquisitions;
40	kia;soul;
41	reviews;
42	people;kia;mr;flintoff;
43	kia;location;
44	dealers;financing;
45	market;share;
46	kia;storm;
47	daily;orlando;kia;
48	kia;experience;
49	sales;plant;
50	sales;growth;
51	luxury;cars;
52	kia;picanto;
53	kia;forte;
54	blake;griffin;mercedes;benz;
55	car;problems;
56	crime;kia;involved;
57	president;peter;schreyer;
58	kia;glosdeaf;
59	kia;rallies;
60	mpg;average;exaggerated;reimbursement;
61	spanish;top;leadership;change;
62	gps;affordable;cars;
63	kia;brands;
64	mpg;average;exaggerated;
65	kias;road;
66	kia;argentina;themed;cars;
67	people;kia;
68	venezuelan;interior;design;director;
69	users;followed;/;followers;
70	kia;pro)ceed;launch;
71	kia;endesa;league;
72	commercials;
73	kia;carriage;rides;
74	comments;kia;cars;quality;
75	kia;argentina;australian;open;
76	kia;
77	comments;blake;griffin;
78	kia;polo;
79	replacement;hybrid;tool;
80	drive/have;kia;
81	kia;optima;poem;
82	dealers;carnival;kia;guy;
83	kia;football;
84	comments;kia;models;undefined;
85	car;accident;
86	commercials;blake;griffin;
87	win;kia;
88	mpg;average;conference;
89	cheerleader;kia;
90	dealers;
91	uvo;2.0;
92	kia;optima;hybrid;
93	kia;baseball;
94	road;trips;advice;
95	kia;sportage;
96	commercials;hamsters;
97	award;expensive;cars;
98	famous;people;kia;
