1	swift;
2	repsol-suzuki;
3	review;product;
4	tyco;suzuki;announcements;
5	suzuki;events;
6	buying;suzuki;
7	halts;car;selling;
8	fixi;crescent;suzuki;
9	manesar;plant;resumes;production;
10	political;reactions;closing;gij�n;
11	incidents;
12	closing;gij�n;plant;
13	review;sx4;
14	driving;suzuki;
15	advertising;alan;jones;program;
16	pak;government;permission;import;
17	increase;car;prices;
18	mention;product;
19	launching;maruti;alto;
20	suzuki;gsxr;
21	popular;car;
22	tax;paying;japan;
23	topics;
24	suzuki;night;market;
25	future;policy;
26	bankruptcy;american;suzuki;
27	review;swift;
28	ertiga;wins;family;car;year;
29	merchandise;
30	plant-gujarat;
31	importing;2500;cars;
32	customers;questions;requests;
33	shape;cars;offers;
34	jokes;
35	sharing;product;photos;
36	statements;suzuki;professionals;
37	maruti;inability;pay;manesar;plant;land;
38	comments;fans;
39	launching;products;
40	win;suzuki;
41	manuals;
42	porceyo;workers;strike;
43	rally;
44	sales;increase;bankrupcy;
45	motorcycle;rides;
46	increase;benefits;
47	fixing;product;
48	stolen;product;
49	maruti's;performance;
50	facts;suzuki;
51	dirt;bikes;
52	return;motogp;
53	job;offers;
54	moto;racing;gsxr;
55	opening;dealerships;
56	driving;fast;suzuki;
57	customizing;product;
58	view;past;suzuki;
59	suzuki;tri-series;
60	sale;
61	suzuki;s-cross;
62	suzuki;dealers;crisis;
63	maruti;sales;increase;
64	technical;opinion;
65	factory;myanmar;
66	raid;himalaya;2012;safety;issue;
67	safety;grade;products;
68	trial;races;
69	factory;philippines;
70	reporting;problem;
71	advertisement;
72	accessories;merchandise;
73	product;present;
74	motorcycles;
75	participation;2013;tokyo;auto;salon;
76	suzuki;loan;
77	drivers;joining;team;
78	nec;
79	critics;closing;gij�n;
80	copa;suzuki;jimny;
81	comparison;companies;
82	owning;suzuki;
83	important;people;driving;suzuki;
84	clients;services;companies;
85	suzuki;cup;
86	stock;analysis;
87	personal;opinion;
88	suzuki;wagon;
89	sponsorships;
90	prices;suzuki;products;
91	workers;struggle;manessar;plant;
92	4sq;suzuki;stores;
93	raids;
94	moto;racing;
95	partnership;companies;
96	gij�n;closing;affects;workers;
97	forums;fan;groups;
