pr	2	269113842758463488,1;
year	24	282259424825991168,1;262622674956722177,1;262348095780704256,1;282728356380823552,1;261775014372720641,1;273165641081577472,1;275100012151726080,1;266556516889403392,1;270475733271445506,1;279152460587749376,1;274132444909817856,1;273198667043860481,1;278164857176608768,1;285382163849961472,2;285401273098969088,1;
videos	7	266194571426418689,1;282189447037083649,1;
supply	2	280425356358475777,1;271273339824242688,1;
sponsors	1	259615824560656384,1;
speedboat	8	263273521885609984,1;265495050664964096,1;263427159249518592,1;263677416583610368,1;263680256123224064,1;263426567831683073,1;263433371017945089,1;263418963604684801,1;
hired	0	
brand	33	278928254080000001,1;275242684359258112,1;260398980826030080,1;274539887984787458,1;284695082307825664,1;274536683565883392,1;272002715771617280,1;271101976392130560,1;270624827281395714,1;275100012151726080,1;267068007602352128,1;270931264046002176,1;267447822981410816,1;279318969209479168,1;275682798080245761,1;266081127826071553,1;280697902232383488,1;
events	0	
models	15	282935412396281857,1;260245377696030725,1;263709230371069952,1;266651489626374144,1;273717389194047488,1;276240233668947968,1;
reopens	0	
investment	1	271273339824242688,1;
court	1	278081499570528256,1;
dealership	2	
venture	7	270212171563151360,1;271101976392130560,2;270506221642063875,2;270210091226124288,1;270084526313709568,1;270770529923907584,1;
saudi	21	278421200470962176,1;278448232735055873,1;278427600957874176,2;278439772282830848,1;278512917312307200,1;278980037582155778,1;278615983923527680,1;278441502307409920,1;
contains	0	
left	11	266226028739973120,1;259055444595712000,1;277571975533178880,1;283248055812255745,1;
adopt	4	282933172642123776,1;264281069216481280,1;
plans	10	278438715867668480,1;280282523538440192,1;279923967605735425,1;
plant	19	272415816962682880,1;263965779169533952,1;278421200470962176,1;278484366655639552,1;278427600957874176,1;272415821173764096,1;270068210487947265,1;278512917312307200,1;
styles	2	268447330087358464,1;
supercar	12	278761647936503808,1;259351863449772032,1;282935412396281857,1;278430957806166016,1;278445032510455808,1;280282523538440192,1;278489500487929857,1;279923967605735425,1;
stops	1	
drive	46	282906622366466049,1;276740065357598720,1;263297672679682048,1;268359123878436865,1;264964149375823873,1;281044787929415681,1;268155125506379776,1;268307508773404672,1;262008701605535744,1;268414492881330176,1;276975709061271552,1;276022738035044353,1;
rover	250	265566418790141952,1;261723495891886080,1;270212171563151360,1;278081499570528256,1;272415816962682880,1;270151740052107264,2;270526689849794560,1;271989239456075776,1;277382055476731904,1;278838672122576897,1;280267939226189824,1;279001616651280384,1;272148539117817856,1;274185913918185472,1;270466849731395585,1;272744037147086848,1;279807262720143360,1;264281069216481280,1;278421200470962176,1;272394908449505281,1;278484366655639552,1;276437961543929856,1;272002715771617280,1;272160086057684993,1;266225867594813440,1;266210428097531905,1;278448232735055873,1;274460988953214976,2;280551223218798593,1;272646696603897856,1;271273339824242688,1;272160505479704576,1;270484048508502016,1;280244345859366912,1;271437801730482177,1;272478035264028672,1;278427600957874176,1;272478546977505281,1;270164834681757698,1;260245377696030725,1;261960872493207552,1;276117244101148673,1;272147633148141568,1;270210091226124288,1;272205829132935168,1;278439772282830848,1;269030517662437376,2;272430546536259584,1;270487464706199552,1;276289491604496384,1;272145645077409792,1;264008183591362560,1;272395508130127872,1;270788447990607872,1;270207876612628481,2;272415821173764096,1;259059068457603072,1;277051395499241473,2;258811671617884160,1;274032230404337664,1;272145649246535682,1;270225699120488448,1;269113842758463488,2;278857269658144768,1;272394581197332480,1;270149517050015744,2;270134870578167809,1;279112805309902848,1;279152460587749376,2;270913931051143168,1;270079493161496577,1;272399140556767232,1;274527867113730048,1;261837199245471744,1;270474284152025088,1;278945578900140034,1;276267955090755585,1;270835550007730177,1;270149517066780672,2;270211156562563072,1;272395296590426112,1;270886850565115904,1;285858297054113792,1;276564046520659968,2;273649909029277696,2;266366045151973377,2;270149269590249472,2;264843225662115840,1;261838374887895040,1;273813833011847168,1;281380298707566593,1;260914418840387584,1;278954481029369856,1;260963244703887360,2;272161738609283072,1;270068210487947265,1;272145645069017090,1;270770529923907584,1;272394655163904000,1;273717389194047488,1;263901996384399360,1;282076051344064512,1;270108911997177857,1;270191518831214592,1;270592653681360896,1;278512917312307200,1;265434435695034368,1;270147172446638080,2;272677495411707906,1;270151324832759808,2;271890992100147201,1;272775521132240896,1;278615983923527680,1;279853391713271808,1;272395345940582401,1;278441502307409920,1;270139698209492993,1;272678659947651074,1;270221248041201665,1;279136945848844288,1;266349618298753025,1;
deal	19	278081499570528256,1;270151740052107264,1;270149517050015744,1;273085873812295680,1;270913931051143168,1;270013001774546944,1;270835550007730177,1;270149517066780672,1;266366045151973377,1;270149269590249472,1;270147172446638080,1;270151324832759808,1;
conference	5	285774981370101762,1;263769474925199361,1;282004507624370176,1;273869038453682176,1;265664447127887873,1;
global	12	263187479945965568,1;269030517662437376,2;269113842758463488,1;279112805309902848,1;279152460587749376,1;270013001774546944,1;279853391713271808,1;
facts	0	
measurement	0	
automobile	7	259394277250056192,1;270487464706199552,1;275827642832404480,1;271162873517060096,1;270134870578167809,1;272059685627125762,1;270770529923907584,1;
instinctive	5	270518599897202688,1;
honoured	1	278164857176608768,1;
worries	3	283561349353709568,1;283572493619453952,1;283594366503776259,1;
ian	5	265495050664964096,1;279005664142053376,1;281167664255209472,1;278164857176608768,1;
workers	5	277382055476731904,1;278484366655639552,1;260963244703887360,1;
gives	4	267406765203787776,1;274972245259067392,1;276411197685891072,1;266492239163830272,1;
xj_e	2	266540377199218688,1;
brands	3	262582061515276288,1;270592653681360896,1;
consolidate	1	274185913918185472,1;
awarded	1	
maker	4	278448232735055873,1;270487464706199552,1;271255408251924480,1;278512917312307200,1;
staff	4	263965779169533952,1;260963244703887360,1;
involve	0	
possible	2	280267939226189824,1;
pictures/videos	0	
people	23	269824004041359360,1;261959224169472001,1;270946233504366592,1;260877114696429568,1;275020253254254593,1;273177804575764480,1;274097166639828992,1;266147245093703680,1;278192807385120768,1;
sale	38	265161394901639170,1;262558149796573184,1;268917259907514368,1;278144577704189952,2;265720634028478465,1;268535272055136257,1;279270555394379777,1;267324888199602176,1;273264794402975744,2;263021146411261952,1;279955246191632384,1;269499873915727872,1;263043917300248576,1;271325289546674176,1;270927375913590784,1;265815721899094019,1;273084061847781378,1;284341494087819264,1;273577421071077377,1;261903636894990337,1;
dealer	6	276289491604496384,1;274527867113730048,2;265434435695034368,1;
interview	3	261838374887895040,1;
joint	6	270212171563151360,1;271101976392130560,1;270506221642063875,2;270210091226124288,1;270084526313709568,1;270770529923907584,1;
showroom	6	265566418790141952,1;264843225662115840,1;
excellence	4	276289491604496384,1;263958168734945280,1;276267955090755585,1;
research	0	
fears	2	263342899855495169,1;266651489626374144,1;
mm-eye	1	272002715771617280,1;
uk	39	280611575063265280,1;261185540869730306,1;263316320563646464,1;266664899571249153,1;271273339824242688,1;272919653813215232,1;272508907002408961,1;
won	5	263118949221298177,1;272816054210801664,1;
offers	5	259351863449772032,1;273212814422859776,1;270504950780551169,1;
given	2	277382055476731904,1;278484366655639552,1;
dealers	2	265434435695034368,1;
sharing	1	264281069216481280,1;
imaging	1	272144818786942976,1;
involved	0	
parts	0	
claims	0	
designs	0	
helps	2	284503138390659072,1;
carry	3	275681344514826240,1;
recognises	2	276289491604496384,1;276267955090755585,1;
vw	3	264281069216481280,1;
production	18	263965779169533952,1;278438715867668480,1;278448232735055873,1;278445032510455808,1;270835550007730177,1;
concept	12	263273521885609984,1;265495050664964096,1;272085406458191873,1;263427159249518592,1;263677416583610368,1;262517448253775872,1;263680256123224064,1;263426567831683073,1;263433371017945089,1;263418963604684801,1;261196682887299072,1;
2012	95	266226028739973120,1;265161394901639170,1;266885165756841984,1;280375205057155072,2;270820920283787264,1;278838672122576897,1;273212814422859776,1;271341009798037505,1;278586707702607872,1;270980375130537984,1;277358909088481281,1;283053842768216064,1;278445032510455808,1;268471061471965184,1;276769089274380289,1;279809720586473472,2;263420796502937600,1;261466515075891200,1;263870118348607488,1;263883847630999552,1;262217844949913601,1;270980471603744769,1;274990544999034881,1;263059775955288064,1;270475733271445506,1;273069205685936128,1;270134870578167809,1;265664447127887873,1;266540377199218688,1;274527867113730048,1;274562562400591873,1;261458235528208384,1;278733294407917568,1;274069987554115585,1;276126840672903168,1;270980467396857857,1;278164857176608768,1;273813833011847168,1;277950805062078465,1;260914418840387584,1;274539372110561280,1;274038429606612992,1;
