romeo	14	276623242301689856,1;269107664531898370,1;284254227436548096,1;254277683545001984,1;263320170938908673,2;276606123786780672,1;273194481128439809,1;269561312051331072,1;263344242057965570,1;
crowdfunder	1	254277683545001984,1;
chrysler�s	0	
year	23	266958498988965889,1;273674187858661378,1;277303787557888000,1;264452058399264768,1;274608297116577792,1;274959532319444992,1;273597654389366784,1;253943068879888384,1;262880851166101504,1;281073330054909952,1;277012161153363968,1;284550764704198656,1;276599786197614592,1;277361941549305858,1;263894991900921856,1;
500s	14	263694000849027073,1;282166390973157376,1;253760630715211776,1;261191905604415489,1;
millionth	3	272682272723984386,1;270605374980247554,1;272131015315705856,1;
500e	25	269621882007994368,1;274574818161074176,1;273812755058933761,1;274508522987864065,1;273569191842430977,1;261645326644019201,1;273737987425189889,1;261910888980836352,1;274275396869046273,1;275777878774398976,1;276439601541939200,1;273891054359552002,1;269436103705112576,1;273655141507420163,1;269554664096296960,1;277185386525114368,2;275733222028111872,1;273922125755203584,1;270912070894096384,1;269393407019978753,1;271990279668645888,1;274604350247161856,1;283312694239588352,1;285514552840450048,1;274596460773908480,1;
jumps	0	
owners	5	278433737228832769,1;265354366427492352,1;280497905213788160,1;277304433463943168,1;
videos	4	281467213075066880,1;261168111326228480,1;281481062650105856,1;
alfa	18	258278814675791873,1;263310842827780096,1;276623242301689856,1;269107664531898370,1;269453237432750080,1;284254227436548096,1;254277683545001984,1;263320170938908673,2;276606123786780672,1;273194481128439809,1;263344242057965570,1;
advertising	3	269702681101205504,1;268810055854456832,1;
professional	2	281329971249684480,1;276406424576344065,1;
500l	55	283909791166906369,1;281467213075066880,1;273854006072328192,1;275633783443697664,2;282101383442878464,1;281538725975040001,1;281910039315365888,1;280242077848190977,2;258611330683121664,1;278674871972667392,1;281079101543034881,1;275777878774398976,1;265862019817803776,1;262948673036627968,1;281406395675467776,1;278220431717187584,1;281888228913598465,1;283604571660640256,1;281051557557071872,1;282048296162295808,1;273818538349826048,1;280651308824948736,1;264417311384027136,1;279259201438642177,1;274207434871029760,2;281705587966894080,1;281481062650105856,1;281801083846811649,1;275578732150927360,1;278523885387915264,2;281466827186507776,1;273661042914099200,1;258691634823327744,1;281550423880527873,1;281185368445943808,2;257110911800709120,1;283539782271905794,1;
revamp	1	263401351688626177,1;
focusfiat	0	
engines	2	255415250290106368,1;
championship	0	
