references	0	
boys	6	268609813234200576,1;
owners	4	274189529387257857,1;285845663802081280,1;
halo	3	275039266030120961,1;284042582831550465,1;279096969924837376,1;
470	15	276855026373255169,1;272520452247801856,1;
350	78	266228786561949696,1;277944748499673089,1;274220512727678976,1;277081778848661504,1;274962145362456576,1;274251781243039744,1;265976998269157377,1;280976710197997569,2;269847095182258176,1;271327550276521984,1;278054878318825472,1;272584125985210369,1;274062462955970560,1;276563857768587264,1;266657998057910275,1;267149696332623872,1;272095942566637569,1;267320798753193984,1;268831557689696256,1;281957116175065088,1;274041436918382592,1;285709671891890176,1;270716805063000064,2;275932967354900481,2;274079441515315200,1;268355151868350464,1;273112922882981888,1;
harvested	1	276778794289885184,1;
offer	6	277406544776273920,1;268593908433428480,1;272095942566637569,1;
trip	11	268390073664425984,1;274501258457518081,1;281208751657197568,1;
locally	2	276778794289885184,1;267753118253604864,1;
press	2	271198286617116672,1;276032973181157376,1;
rap	4	
models	19	283877696356876288,1;276160340406984705,1;275075760685993985,1;273181021594349568,1;
grow	4	275345949331685377,1;266039162057150465,1;
lfa	136	269170558116188160,1;267957817053417472,1;266725488595189760,1;281464805536182273,1;269628576129773568,1;267979778433363970,1;271357791174811648,1;280768840470773760,1;280565626467147776,1;281463361080815616,1;276050596602195968,1;281586463634755584,1;269067772527525888,1;266252090119168000,1;283612175942164480,1;274465298185330690,1;282154055533473793,1;267344588870651904,1;265983780488110080,1;280733465727610880,1;280744068923928576,1;280634694066896896,1;265928935735443456,1;280817045640196097,1;281552084204126210,2;269975822549516288,1;266244536173486080,1;278077703733780480,2;267624692876201984,1;275736413901840385,1;281092556882857985,1;269573817364533249,1;266717118572146688,1;272649603256549376,1;268206480564555776,1;280557099430338560,1;280861995996180481,2;269760008831528960,1;278480428233543681,1;281353920746504194,1;281656917267456000,1;267672583439278080,1;280839846526869505,1;280886092239077376,1;270137152279556097,1;285367244693848064,1;
neutral	0	
hurricane	2	268436886262018048,1;
analysis	0	
horse	5	284677604672434176,1;284569694416031744,1;277776850489597952,1;284903870579236865,1;284681903573962752,1;
bachelet	4	282638943760044032,1;282921726713688066,1;283260979926675456,1;282493785760489472,1;
creating	1	
supercar	11	268390073664425984,1;280733465727610880,1;280744068923928576,1;281092556882857985,1;280861995996180481,1;281353920746504194,1;280948935516893184,1;280886092239077376,1;
atlanta	8	266781415453110272,1;266671684084432896,1;266775606337867776,1;
mega	2	276434845201227776,1;
average	1	
24	2	276380373775155201,1;
sustainable	2	276778794289885184,1;
toronto	4	270834128134492161,1;
rx	85	281962132537475072,1;274536952001331201,1;271675295805870081,1;270715923118309376,1;285356956074524673,1;274962145362456576,1;274842175685144576,1;280419540477812737,1;274251781243039744,1;271124608860708865,1;269847095182258176,1;280075362652807169,1;278054878318825472,1;274041436918382592,1;285709671891890176,2;274079441515315200,1;276915638247751680,1;279389627503243265,1;269215894352306176,1;
campaing	0	
manual	9	284204352942505984,1;
250	26	281054019617714176,1;271482164875493376,1;280063455019532289,1;269877751316615169,1;285611986543337472,1;268555929031684097,1;271633755414855680,1;277933990101544961,1;284454885435535360,1;
chase	14	284672454037733376,1;284599070490767362,1;284741139981012992,1;284385450410516480,1;281045958140239873,1;282879921766944768,1;272387443020410880,1;284569694416031744,1;277776850489597952,1;284663650214625280,1;284621778490384384,1;284903870579236865,1;284724945538400257,1;
accident	6	
remember	32	275661415535235072,1;276388865927954432,1;277931234447986688,1;278337662518165504,1;285583301673111552,1;271206736277434368,1;275730046948347904,1;284840960234504192,1;285583318068645888,1;272901513188372480,1;266627187703152642,1;284400235353092096,1;283930032890576897,1;284809486164705281,1;274962177184636928,1;270023738299404288,1;281096155859910656,1;275627156455952386,1;275775924207763457,1;283937783838552064,1;282678746182475776,1;
sc	12	276672943252205570,1;272685871432605697,1;279144600462045185,1;
golf	6	277430312919764992,1;268007880274358274,1;
president's	0	
earners	0	
replacements/accesories	0	
lights	8	271039649034665984,1;265863676584656896,1;
brands	2	
sex	15	269962369722114049,1;279012895105355777,1;281545512329543681,1;280897169395961856,1;
black	81	278961657483509761,1;276655615445704704,1;284058525376868352,1;279328378094510081,1;274951739302617089,1;281420425605574658,1;266409602973835264,2;272213773136306177,1;283379644965740545,1;285797538341203968,1;268891599159840770,1;266717118572146688,1;273590079493124097,1;279332578127904768,1;272211151490805760,1;271253927624847360,1;279096969924837376,1;273637668057915394,1;266037308191543296,1;273918036287815680,2;272164649460441088,1;276487936676089856,1;271892061635088385,1;
mans	3	
launch	6	271132150202507265,1;271198286617116672,1;279500789150527488,1;
team	16	276429489083404288,1;285585463866167297,1;267386657739796480,1;266604009001996288,1;267624692876201984,1;271072582697095168,1;274189529387257857,1;
hybrids	8	282175635223367681,1;282180467040604161,1;
gear-shift	1	266593535413870593,1;
ct	25	271482164875493376,1;266160868180516864,2;278299418837520384,1;268393634624319488,1;
marketing	7	
meet	10	275716948099227648,1;276434845201227776,1;273161161569087488,1;
dealer	19	283676004881412098,1;277580829721509890,1;266627187703152642,1;273610400879226880,1;276528898278322177,1;
enform	3	276424636265271297,1;
lease	3	274190531372912641,1;
celebrity	2	283410962617339904,1;
commercial	23	274942092395044865,1;273247727796756481,1;269092574189469696,1;271206736277434368,1;278264983584919552,1;268748854432763904,1;271761631594287104,1;
london	6	268007880274358274,1;
tx	11	271633755414855680,1;272520452247801856,1;
official	21	277828591436316672,1;268274604454318080,1;271202698412556288,1;280759411692154880,1;281353920746504194,1;
lf-lc	27	282918899454996481,1;269182391166316544,1;280527511748759553,1;285149946200604672,1;283221258429149184,2;274294169252552704,1;274240037225365504,1;268274105332154368,1;271335192285818881,1;274524486500507648,1;
girls	14	284117950271725569,1;275063497128292352,2;284909085722304512,1;277104826532376578,1;
red	77	273819042324815872,1;275658526670610432,1;274654916792954882,1;278961657483509761,2;266537898357186561,1;277850179502235648,1;278414552499093504,1;273942459711635457,1;278633401525882880,1;276167525404905472,1;272133108306952192,1;274103223223201793,1;269067772527525888,1;269525249454919681,1;270701793669939200,1;273174121955856386,1;270859201696370689,1;268556524585115648,1;270920644047273987,1;274132570738917376,1;273224264872755200,1;282569174155423746,1;276490742682230784,1;281055961584631808,1;272895687279120385,1;270758144144195584,1;272780738171117568,1;270806210838683648,1;272831459889381376,1;273640763441700864,1;272831069844291584,1;276267807027642368,1;273228798886043649,1;276549207073124352,1;282510122679410691,1;276063871591145472,1;274486154760437760,1;282760803524952065,1;270656096698515458,1;273124130038099969,1;275851904037302272,1;271470005588209664,1;276116916945424384,1;279332578127904768,2;273213762310402049,1;276109581116133376,1;273001958372155392,1;272871624578068480,1;275761772655435776,1;270499326235643907,1;276141193576976384,1;273069566349946880,1;272873423917703168,1;282912398246019072,1;270591512834891776,1;270915321483890690,1;275951468438228992,1;271792128164777984,1;285447666274553857,1;275784098927235072,1;276486875512987648,1;266037308191543296,1;273856854004744192,1;
amazing	19	276429489083404288,1;275661415535235072,1;277776850489597952,1;284848296072204288,1;279027392637452288,1;
white	53	277999030779400192,1;276050596602195968,1;270590506172547073,1;268593908433428480,1;282569174155423746,1;280938684633722880,2;283602733200703488,1;281552084204126210,1;270528204010315776,1;275736413901840385,1;265825319666196481,1;265941795484102656,1;273054970167844865,2;272211151490805760,1;269612709065154560,1;267296413094912001,1;269215894352306176,1;
uk	4	271675295805870081,1;271198286617116672,1;
club	22	276177722609377280,1;272161495343845376,1;280754421703516161,1;271723366744981504,1;266657998057910275,1;280759411692154880,1;268336390742347777,1;280963917562388480,1;274189529387257857,1;266089707618856960,1;
warning	1	271039649034665984,1;
coupe	26	266228786561949696,1;274569956971122689,1;274208798044999683,1;268800154931445761,1;272541327302983680,1;277540526637588480,1;275693356812730369,1;
portland	2	270590896276393984,1;
test	28	280976710197997569,1;282510122679410691,1;278276241134583808,1;278546924724948992,1;276006820642963456,1;281728623076057088,1;
distributors	0	
quizz	0	
exclusiveness	0	
es	102	276446027215667200,1;276713779008507904,1;278870271983751170,1;277081778848661504,1;273154509381976064,1;271327550276521984,1;276789523931881472,1;272584125985210369,1;271329563525656577,1;276563857768587264,1;266657998057910275,1;284400235353092096,1;268292266685263872,1;267149696332623872,1;275725408035553280,1;266982012227829760,1;276381011309383681,1;267320798753193984,1;268831557689696256,1;270716805063000064,2;273967076119543808,1;281460460233052161,1;275932967354900481,2;284904780726431745,1;268355151868350464,1;281728623076057088,2;
technologies	2	281491810986123264,1;281767445566459905,1;
involved	3	284844441498439681,1;
materialism	0	
son's	0	
resale	4	275638260083077120,1;273588670206988288,1;273628276986093569,1;273042613748252672,1;
campaign	7	275627156455952386,1;275775924207763457,1;
toyota	177	268415143015223297,1;275345949331685377,1;270715923118309376,1;273816521560707072,1;275661415535235072,1;274163977699864576,1;278870271983751170,1;270834128134492161,1;274951739302617089,1;276434845201227776,1;273588670206988288,1;273628276986093569,1;271595541115314176,1;271202698412556288,1;274131010462023680,1;278480428233543681,1;273042613748252672,1;281767445566459905,1;273259169849671681,1;278909576827514880,1;272486130266566656,1;273918036287815680,1;279500789150527488,1;278900227715497985,2;
selling	53	266250697572487168,1;281962132537475072,1;274536952001331201,1;275039266030120961,1;285356956074524673,1;274842175685144576,1;282665647366881281,1;269847095182258176,1;270758187014184961,1;271723366744981504,1;271633755414855680,1;274615960089018369,1;267320798753193984,1;281957116175065088,1;272108508705611777,1;279389627503243265,1;284904780726431745,1;268355151868350464,1;272520452247801856,1;
oman	2	267121836066754560,1;
colombian	0	
production	22	280634694066896896,2;280817045640196097,1;281092556882857985,1;274550738682793986,1;280557099430338560,1;280861995996180481,2;280948935516893184,1;280839846526869505,1;
michelle	0	
truck	24	270590506172547073,1;267710642532782080,2;271322240279252992,1;280432016904843264,1;283017734017671169,1;
book	3	
critique	0	
india	1	
watching	11	273570617901592578,1;281128632095764481,1;277289707891740672,1;
ride	26	278231856997081088,1;283410962617339904,1;
postpones	1	279500789150527488,1;
