273733914298839040	josh brookes will be making his iom tt debut next year as part of the tyco suzuki team!	77
282492570939047936	“ @typicalmsian: congratulations to singapore for winning the aff suzuki cup on behalf on malaysians :)” ini baru respect!	85
267375538623094784	stolen from essex: 3x red and dark green suzuki ozarks, 3x white suzuki lt-z50s, 1x white suzuki ltz90s. 1x yamaha grizzly 125cc blue.pls rt	48
253852746229370880	ichiro suzuki is petrified of champagne. http://twitpic.com/b0y1zm 	-1
274502890062745600	i favorited a @youtube video http://youtu.be/abml1arg1rm?a  [ft] aff suzuki cup 2012 [game 2 group b] - laos 1 - 4 malaysia	85
285063265384558592	robaron su moto: recuperamos motocicleta marca suzuki color rojo de placas hf162e. http://bit.ly/toglcm 	48
273569787429396480	@_victoriajames oh no! a new car, i won't recognize you on the road without your old suzuki	18
266034082771791873	awwwwwwwwwwwww rt @reggieregsw: @shelly_2lanes @staxxfifth @vobytheway @ayebighead @suzuki_bj ill shoot errybody grandmother in this tweet	-1
267796575420575744	suzuki swift or produa myvi. both is awesome ;p	1
263878562841518081	shopping- nsa alt-5025 new alternator for select dodge/geo/suzuki models http://adf.ly/ef8r5 	72
223009351584055296	aff suzuki cup has lift off http://bit.ly/o4xkfu  http://twitpic.com/a6dfjc 	85
254466838254211072	#mlb #sport ichiro suzuki ready for first playoffs in decade http://dlvr.it/2gq0l5  #cool go	-1
267161025147723776	two brothers racing juice box premium fuel controller - suzuki gsx1300r hayabusa - fits years: 2008 to 2011 fits... http://amzn.to/wojkbd 	72
272694062878965760	goal ! malaysia 0-2 singapore in group b of the aff suzuki cup.shahril ishak with his 2nd of the game. khairul fahmi error. nice !!!	85
274129085289074688	rt @info_bpn: aff suzuki cup 2012 | malaysia vs indonesia | sabtu, 1 des 2012 | live rcti pukul 20.15 #infobpn	85
268176080244989952	@suzuki_brat the one night a year 5'6" 100lb girls feel fat lmao	-1
281396883551813632	fulltime: singapore 3 vs 1 thailand. singapore have a big chance of winning the aff suzuki cup. advantage to the lions going to thailand.	85
275657607119794176	“each of you is perfect the way you are ... and you can use a little improvement.” ― shunryu suzuki	-1
259008027968024577	#motorcycle #motorbike #bikelife #thebikedoctor_ #bikedoc #twowheelsonly #honda #cbr #suzuki #gsxr #yamaha # http://instagr.am/p/q71dbnjydr/ 	54
272345847591755779	from the azkals suzuki cup game to the #zorencarminawedding. tv got hijacked all of a sudden :)). #thanksmom	85
272360267600515072	thais beat philippines and top group: thailand started their aff suzuki cup campaign with a 2-1 victory over phi... http://bit.ly/10wbawj 	85
277094544359710722	follow & rt to #win a selection of festive dvds! as seen on the suzuki sponsored itv1 movies. more details here: pic.twitter.com/imtlhnhj #comp	71
277227107275390976	@ajungbluth xfv ayuda urg!!robaron carro en la 13 y portete suzuki verde oscuro placa ggm627..unico medio de trabajo..rt ..urg!!ayuda	11
273635797368991745	augustine seems like such a live school .	-1
258262425873309696	here's the full piece (link fixed). dr. suzuki: don't trash economists. fantastic read. http://mmoffatt1.typepad.com/blog/2012/10/dr-suzuki-dont-trash-economists.html …	-1
271902262169841665	good luck & all the best to our team #harimaumalaya in defending the aff suzuki cup championship! malaysia boleh!!!	85
277148644430450688	what the hell is maxwells going to announce on my bday i hope its lou barlow and kurt vile and damo suzuki	-1
267194093027868672	you can views the all details of new suzuki hayate bike in india online here.... http://tiny.cc/cfqjnw 	3
268802545714081792	guy martin is on the one show now!	77
282522248299044864	hi malaysians, the team you call dog won the aff suzuki cup :)	85
284792633447034880	¡deja atrás la rutina y sal con tu #suzuki a disfrutar del último viernes del año! http://yfrog.com/oby7optp 	82
265965107446689792	suzuki loses the american dream, dies an unloved death on our shores http://bit.ly/pvmgqv 	7
254842084178141184	"we're in a giant car heading towards a brick wall and everyones arguing over where they're going to sit" — david suzuki	-1
255754036588994561	former seattle mariners outfielder ichiro suzuki showed off some dance moves on the basepa http://seattle.cityandpress.com/node/5298187 	-1
269085082411737088	we have a new 90 hp suzuki comming for this 20' flat'z cat and its on sale $33,995.00 941-685-9374 http://fb.me/2ehsn21lu 	60
271237850882789376	i rarely hear anybody say they are a morning person.....the fuck be so hard about getting up in the morning?	-1
260133363921338371	suzuki swift now available, http://testsite.tempdomain.co.nz/v/aee14ef9_0f97_4e38_9eef_d33634b5701d.html …	84
254095755600596992	i uploaded a @youtube video http://youtu.be/btgdev1mkp4?a  suzuki nex testimonial 30 seconds	74
